company_name;founded;industry;location;about;stage;amount;Table
Altigreen;2012;Automotive;Bangalore;Altigreen is a leader in Electric Vehicle (EV) technology and solutions for Last Mile Transportation (LMT) through 2, 3 and 4 wheeled vehicles for commercial use.;Series A;37200000;2022
Wealthy.in;2015;Financial Services;Bangalore;Enable professionals to grow wealth for investors;Series A;6975000;2022
Entri.app;2015;E-learning;Kochin;E-learning Entri is a vernacular language learning platform for India, focused on helping people acquire relevant job skills.;Series A;6510000;2022
Oloid;2018;Computer Software;Bangalore;Oloid is a physical identity software platform committed to providing secure and privacy-forward authentication for the modern workplace.;Series A;11160000;2022
xto10x;2019;Information Technology & Services;Bangalore;Helping startups all over the world scale meaningfully into world-class companies.;Series A;23250000;2022
Karbon Card;2019;Financial Services;Bangalore;Karbon Card is a B2B payment solution for India's finance leaders, entrepreneurs, business owners and corporate executives.;Series A;13950000;2022
RENEE Cosmetics;2019;Cosmetics;Ahmedabad;RENÉE Cosmetics is an Indian makeup brand empowering bold & beautiful women with innovative, cruelty-free products.;Series A;930000;2022
Kenko Health;2019;Hospital & Health Care;Mumbai;Kenko Health is a new take on Health financing, with deeper and wider coverage options at significantly lower prices. Check out our plans with wide OPD coverage;Series A;11160000;2022
Sprinto;2020;Computer Software;Bangalore;Sprinto helps SaaS companies become SOC-2 compliant, close enterprise deals, and pass vendor security assessments easily;Series A;9300000;2022
Proactive For Her;2020;Health, Wellness & Fitness;Bangalore;Proactive For Her is a digital platform for women, offering accessible, personalized and confidential healthcare solutions.;Series A;5115000;2022
Join Ventures;2020;Venture Capital & Private Equity;Mumbai;Join Ventures, house of D2C brands for celebrations, is building leadership through its growing portfolio of brands, including IGP.com;Series A;930000;2022
AGRIM;2020;AgriTech;Gurgaon;A B2B Agri-Input e-commerce marketplace, which brings small retailers and manufacturers on one platform.;Series A;9300000;2022
Jar;2021;Financial Services;Bangalore;Jar is a daily gold savings app that lets you save money by taking spare change from your online transactions and investing it in digital gold automatically.;Series A;29760000;2022
Waterfield Advisors;2011;Financial Services;Mumbai;India's largest Multi-Family Office and Wealth Advisory firm, providing holistic advice without any conflict of interest;Series B;5580000;2022
Shipsy;2015;Computer Software;Gurgaon;Empower organizations handling trade and logistics to accelerate business growth, optimize costs and enhance customer experiences using our smart end-to-end global logistics management platform.;Series B;23250000;2022
Increff;2016;Computer Software;Bangalore;Increff is a business partner to Fashion and Lifestyle brands and retailers to deliver significant and sustainable increase in sales and inventory efficiency.;Series B;11160000;2022
Propelld;2017;Financial Services;Bangalore;Propelld is a series-B funded fintech company that enables flexible financing solutions through fully digital journeys for learners pursuing education programs at vetted partner institutions.;Series B;32550000;2022
Fleetx.io;2017;Computer Software;Gurgaon;Fleetx is an AI-Driven Freight Movement Platform that helps supply chain and logistics stakeholders digitize their operations and helps them make smart decisions based on real time actionable insights.;Series B;17670000;2022
Arrivae;2017;Furniture;Mumbai;Arrivae, an interior designing startu;Series B;8370000;2022
DaMENSCH;2018;Apparel & Fashion;Bangalore;Innovative, sustainable, premium, essential fashion for men.;Series B;9300000;2022
MediBuddy;2002;Health, Wellness & Fitness;Bangalore;MediBuddy - India’s Largest & most Trusted Digital Healthcare Platform for inpatient, outpatient, wellness & fitness needs;Series C;116250000;2022
GOQii;2014;Health, Wellness & Fitness;Mumbai;GOQii is a smart preventive healthcare ecosystem which enables you to live a healthy and active life!;Series C;46500000;2022
